user_id,place_id,rating
1,113,10
1,57,10
1,40,6
1,77,1
1,136,9
1,148,7
1,41,6
1,42,4
1,1,5
1,99,7
2,40,8
2,54,7
2,103,8
2,146,6
2,135,8
2,126,9
2,42,4
2,1,8
2,165,9
2,141,8
3,148,10
3,54,10
3,40,10
3,193,10
3,68,10
3,146,6
3,48,8
3,113,10
3,165,10
3,99,10
4,63,10
4,191,9
4,159,5
4,38,6
4,83,3
4,139,1
4,166,10
4,22,7
4,176,8
4,85,8
5,92,10
5,73,9
5,28,8
5,140,9
5,86,8
5,73,10
5,146,10
5,191,9
5,149,9
5,42,10
6,1,10
6,73,10
6,42,10
6,123,10
6,28,7
6,99,6
6,89,8
6,164,8
6,146,9
6,87,8
7,40,8
7,167,8
7,100,6
7,193,7
7,22,5
7,179,9
7,48,6
7,112,6
7,99,10
7,42,9
8,42,7
8,126,9
8,1,8
8,57,10
8,28,6
8,123,8
8,41,9
8,109,7
8,36,8
8,96,9
9,65,9
9,145,9
9,26,9
9,42,7
9,159,5
9,99,10
9,6,4
9,107,9
9,191,9
9,58,8
10,127,10
10,75,10
10,71,8
10,42,10
10,40,10
10,151,5
10,11,1
10,18,7
10,123,8
10,16,7
11,194,10
11,40,8
11,136,7
11,48,7
11,146,7
11,17,8
11,78,9
11,114,6
11,174,7
11,54,8
12,193,10
12,40,10
12,42,5
12,146,4
12,48,2
12,6,7
12,125,2
12,68,4
12,15,3
12,145,8
13,36,10
13,124,10
13,96,10
13,142,8
13,120,10
13,95,8
13,146,9
13,48,5
13,123,8
13,42,10
14,92,8
14,148,8
14,12,6
14,65,9
14,28,7
14,144,6
14,96,7
14,48,5
14,54,5
14,146,7
15,188,9
15,75,8
15,12,9
15,111,9
15,2,7
15,187,8
15,65,10
15,10,9
15,120,9
15,167,10
16,50,10
16,167,10
16,54,10
16,123,8
16,146,5
16,42,4
16,40,10
16,172,7
16,48,4
16,175,5
17,57,10
17,167,9
17,1,8
17,120,8
17,138,7
17,136,6
17,42,5
17,123,5
17,18,5
17,142,9
18,100,9
18,42,9
18,77,6
18,73,8
18,74,7
18,107,10
18,75,6
18,144,8
18,59,8
18,173,7
19,40,10
19,57,9
19,191,2
19,133,8
19,107,1
19,56,5
19,27,3
19,146,8
19,54,9
19,114,8
20,75,8
20,18,9
20,193,7
20,12,10
20,50,9
20,142,10
20,42,6
20,68,8
20,36,7
20,164,10
21,150,7
21,164,7
21,57,8
21,54,9
21,42,5
21,18,5
21,123,7
21,90,8
21,17,8
21,48,6
22,123,8
22,68,9
22,76,8
22,42,7
22,87,10
22,144,9
22,164,9
22,193,7
22,1,8
22,54,9
23,123,9
23,18,4
23,99,9
23,65,9
23,130,9
23,57,7
23,136,9
23,75,7
23,142,9
23,39,8
24,68,8
24,28,6
24,123,6
24,40,9
24,84,9
24,99,10
24,142,9
24,193,5
24,52,9
24,19,8
25,70,10
25,125,9
25,125,8
25,46,5
25,38,8
25,20,7
25,5,8
25,143,8
25,162,9
25,134,7
26,37,7
26,168,8
26,40,9
26,60,9
26,169,8
26,193,9
26,125,9
26,47,8
26,48,8
26,173,7
27,61,10
27,18,8
27,120,10
27,60,7
27,26,8
27,165,9
27,148,9
27,147,7
27,84,6
27,40,7
28,39,9
28,75,9
28,165,9
28,63,9
28,1,9
28,42,2
28,116,7
28,73,6
28,18,5
28,37,10
29,191,8
29,113,9
29,108,8
29,92,8
29,111,8
29,91,10
29,153,9
29,74,9
29,167,10
29,164,8
30,130,8
30,40,6
30,42,6
30,193,7
30,123,7
30,19,6
30,189,4
30,125,7
30,28,6
30,57,9
31,130,8
31,123,9
31,42,9
31,28,8
31,68,8
31,18,9
31,146,9
31,22,8
31,75,9
31,73,9
32,164,10
32,148,10
32,159,8
32,40,7
32,135,9
32,92,10
32,8,10
32,103,9
32,50,10
32,187,9
33,99,10
33,42,6
33,8,10
33,28,5
33,87,9
33,73,9
33,80,10
33,184,10
33,60,9
33,92,10
34,142,10
34,57,10
34,104,10
34,36,10
34,102,10
34,8,10
34,167,10
34,159,10
34,144,10
34,113,10
35,57,9
35,167,10
35,148,10
35,120,10
35,115,10
35,128,10
35,42,8
35,123,9
35,68,9
35,21,10
36,62,9
36,50,8
36,42,6
36,147,5
36,43,7
36,41,9
36,160,4
36,125,8
36,112,8
36,48,7
37,87,9
37,123,8
37,60,6
37,96,10
37,7,7
37,136,10
37,74,9
37,42,7
37,57,10
37,181,10
38,57,10
38,18,7
38,42,9
38,99,10
38,54,10
38,1,10
38,28,3
38,113,10
38,73,10
38,165,10
39,72,8
39,22,8
39,68,8
39,28,8
39,142,9
39,42,8
39,57,9
39,123,7
39,140,7
39,191,7
40,167,10
40,143,8
40,192,9
40,171,9
40,33,9
40,53,8
40,48,8
40,146,8
40,70,10
41,165,10
41,107,7
41,73,10
41,79,10
41,40,10
41,146,10
41,193,10
41,131,10
41,42,10
41,1,10
42,12,8
42,75,9
42,120,9
42,10,9
42,127,7
42,1,6
42,92,9
42,182,8
42,42,5
42,167,9
43,54,8
43,190,8
43,193,8
43,42,5
43,158,9
43,48,7
43,146,7
43,132,8
43,176,6
43,151,8
44,75,10
44,130,9
44,40,9
44,1,9
44,54,9
44,164,8
44,107,7
44,151,9
44,146,8
44,68,8
45,18,8
45,8,10
45,57,10
45,42,8
45,54,10
45,28,8
45,193,10
45,165,10
45,113,10
45,40,10
46,92,8
46,42,2
46,123,7
46,28,7
